"cod_master","jan_prod","fev_prod","mar_prod","abr_prod","mai_prod","jun_prod","jul_prod"
"12171",,,,1176.42,1065.39,321.44,1023.10
"7111",214215.16,151399.99,225830.40,127655.13,144570.54,162599.41,172336.64
"0452",6253.78,1325.00,2696.12,4700.92,1711.45,888.62,2917.09
"11295",7756.47,1579.78,7232.13,781.48,2724.88,3557.63,1960.75
"0396",940.28,,,,,2240.06,2441.38
"8040",10071.07,3924.91,4769.31,6752.92,2296.32,7838.88,16463.96
"8247",256.96,619.80,385.46,103.02,358.63,210.34,510.37
"10448",76873.68,45219.46,81940.50,58029.95,75210.74,53199.39,52063.45
"10341",4737.02,1139.29,2590.58,2651.50,9804.03,7522.25,2483.34
"12341",,,,,,,3050.15
"12142",,,2066.69,15764.91,10622.32,10763.35,16698.49
"8255",434.21,1387.49,4016.65,1850.10,298.76,724.52,2460.30
"10939",12503.85,9778.26,28045.16,7174.54,12222.93,6821.71,10757.63
"8177",1328.45,299.18,1814.70,430.12,1283.86,355.45,970.16
"11395",43501.48,,,1134.05,14073.18,,4251.43
"8271",21310.22,15291.38,38689.80,19541.05,20748.66,19310.16,14019.53
"10979",239322.69,156626.12,122916.00,68042.40,14715.18,24027.10,27086.04
"12276",,,,,981.72,7766.15,27209.36
"7310",49488.84,29830.33,63327.84,58415.29,69420.95,49244.18,63551.68
"8076",266319.82,172116.45,317282.63,223357.89,209297.90,194260.01,258019.87
"11368",206.08,,,221.34,96.45,,1784.37
"10304",7123.31,1398.24,5534.26,87.03,1010.66,1183.47,1313.24
"11024",6179.52,16227.78,14310.78,9488.45,1975.11,237.73,709.05
"7596",2659.06,6626.81,8000.00,2468.70,5260.49,642.67,1171.49
"11742",29546.03,24022.02,28060.47,14607.50,33529.97,15356.24,22632.15
"11831",572.68,1483.12,507.70,841.30,1668.87,503.73,780.72
"11085",3207.95,1142.78,2077.54,,,,
"10839",5589.34,5120.75,7632.94,1343.57,91.52,147.03,7948.59
"7933",,,,,,,375.15
"11257",10004.01,8448.10,11835.86,6825.77,6568.60,7357.53,5888.25
"12224",,,,282.58,1362.21,4832.08,1897.16
"8114",9248.18,4217.48,15590.95,5947.79,6385.61,10541.48,12648.67
"7413",26527.19,8893.42,15717.75,16648.99,9870.18,6970.30,26769.72
"7367",64419.44,41087.49,81483.04,23886.59,10472.94,6984.36,8842.85
"7767",36915.99,12170.07,33086.70,29636.19,29381.20,17951.76,12000.81
"7543",5284.81,2452.85,5792.88,18167.76,2380.66,1915.36,1541.54
"10332",326658.60,199813.77,273952.03,197986.12,178466.84,127216.82,129496.56
"7858",1801.62,4937.49,4014.06,585.79,2342.05,8990.58,1799.29
"12156",,,770.39,230.90,428.89,1086.81,2339.26
"11946",2122.44,264.83,554.06,228.44,241.64,,
"12124",,,25807.30,17705.13,22694.90,18843.62,12012.54
"0988",159.65,2188.88,11169.70,1594.00,3995.14,1329.71,4785.02
"11979",8947.08,10012.90,3671.33,734.22,1298.58,703.29,140.63
"0308",,633.89,856.30,538.47,,,3671.85
"10855",17375.25,16288.88,17000.58,10518.41,11914.50,15255.95,11688.30
"0248",64229.48,560.42,22773.26,10585.72,13979.43,17802.81,19467.41
"8311",5303.87,1067.53,,393.44,6150.69,205.49,203.23
"10553",20105.22,2091.88,4117.92,24639.05,21666.29,4273.06,1605.35
"7459",1264.56,187.89,,,,,
"7716",1569.20,1173.89,9289.53,939.82,1311.11,9241.66,3856.57
"10114",3622.17,6368.19,2513.41,11839.32,1864.51,3136.36,4877.99
"12273",,,,,194.11,246.33,
"7277",758.30,297.14,,,,,1093.81
"11034",212.58,,,,,,
"11192",44852.70,25020.99,40690.11,30861.42,24966.79,18886.35,36365.65
"10966",4036.09,1898.92,7082.89,4620.97,950.20,868.58,706.26
"12221",,,,,144.34,1701.30,5165.53
"8045",873252.53,421449.27,700491.13,507632.73,487363.88,439426.91,754867.16
"12050",,22650.19,74598.46,60819.44,44360.69,44182.72,75706.63
"11216",4852.91,1380.66,6465.67,3106.28,803.47,236.34,
"7956",577205.29,307943.99,423512.02,275908.31,217072.07,182271.33,204579.29
"11354",6211.57,347.18,4122.49,99.95,24056.97,4314.90,8142.93
"11536",,,201.61,,82.34,88.95,100.52
"10657",12288.41,8711.57,17875.58,10761.73,4891.36,10445.69,10171.51
"7724",17629.62,,,,,,
"10735",7995.20,1778.72,19141.58,2092.10,4080.78,3811.42,1026.76
"12077",,256.79,1350.56,827.72,,238.94,
"10539",32433.87,8927.91,8942.57,8561.18,12445.58,7777.20,7335.66
"12297",,,,,,6977.15,4432.55
"11341",470804.82,286140.82,396832.10,365841.78,295045.86,240972.19,407154.19
"10724",46514.42,16799.45,24671.75,19084.18,16697.41,15570.31,17783.14
"7521",4865.45,1569.50,4561.38,2308.20,2391.73,2770.37,8389.81
"10416",,,941.44,,,,
"11818",77125.80,25521.67,46531.12,24880.18,16851.24,9390.14,8037.42
"7636",8929.95,2929.65,5544.10,5573.25,5469.47,7751.00,6350.99
"11566",15022.40,10011.63,14005.95,6335.00,6513.14,8632.17,23480.86
"11400",,,6492.69,,,,
"11807",64600.71,32945.47,80303.76,28302.53,38425.78,22177.85,49491.78
"12328",,,,,,,9053.91
"8039",523.16,1980.90,3392.23,310.82,151.45,1756.83,1123.37
"11312",187564.58,59033.07,167670.75,86432.65,61135.93,42040.98,65240.76
