"cod_master","produzido","frequencia","faixa"
"12325",37720.42,182,faixa_2
"12328",8007.78,11,sem_faixa
"12331",5421.49,41,sem_faixa
"12333",712.38,3,sem_faixa
"12334",5915.26,43,sem_faixa
"12337",1863.08,11,sem_faixa
"12339",9448.64,59,sem_faixa
"12340",299.54,2,sem_faixa
"12341",112.35,1,sem_faixa
"12343",2699.38,25,sem_faixa
"12348",50.02,1,sem_faixa
"12352",14156.43,62,faixa_1
"12353",13258.02,30,faixa_1
"12363",14032.40,93,faixa_1
"12368",452.48,2,sem_faixa
"12371",10815.26,39,faixa_1
"12374",12015.31,27,faixa_1
"12375",138.15,1,sem_faixa
"12379",813.05,8,sem_faixa
"12381",273.65,2,sem_faixa
"12387",10424.54,67,faixa_1
"12388",8697.12,41,sem_faixa
"12391",65269.61,187,faixa_2
"12392",4641.11,14,sem_faixa
"12393",130.27,1,sem_faixa
"12398",7129.79,1,sem_faixa
"12400",103.46,1,sem_faixa
"12401",846.12,1,sem_faixa
"12403",4622.59,26,sem_faixa
"12407",793.11,5,sem_faixa
"12408",1062.73,1,sem_faixa
"12413",19470.20,82,faixa_1
"12417",865.64,5,sem_faixa
"12420",232.56,1,sem_faixa
"12421",837.73,4,sem_faixa
"12429",694.08,3,sem_faixa
"12430",773.47,3,sem_faixa
"12432",2524.20,11,sem_faixa
"12434",2138.19,15,sem_faixa
"12436",2980.48,22,sem_faixa
"12437",9450.14,57,sem_faixa
"12440",1971.47,10,sem_faixa
"12445",1179.66,8,sem_faixa
"12446",313.77,1,sem_faixa
"12452",160.11,1,sem_faixa
"7000",6142.37,36,sem_faixa
"7001",40611.75,250,faixa_2
"7004",1007.80,1,sem_faixa
"7006",5437.42,8,sem_faixa
"7012",176753.46,901,faixa_3
"7013",5955.18,19,sem_faixa
"7015",1663.61,7,sem_faixa
"7016",13417.49,63,faixa_1
"7025",8280.27,24,sem_faixa
"7032",122368.24,558,faixa_2
"7059",2882.21,16,sem_faixa
"7111",43457.54,142,faixa_2
"7118",1509.23,1,sem_faixa
"7129",2326.25,13,sem_faixa
"7130",6599.66,44,sem_faixa
"7161",276.28,2,sem_faixa
"7186",199.76,1,sem_faixa
"7193",562.90,2,sem_faixa
"7195",121.99,1,sem_faixa
"7203",250.17,1,sem_faixa
"7213",2742.62,1,sem_faixa
"7229",4186.70,23,sem_faixa
"7253",270.91,2,sem_faixa
"7262",21025.87,115,faixa_1
"7263",408.65,3,sem_faixa
"7266",10104.15,49,faixa_1
"7277",768.26,1,sem_faixa
"7280",176.09,2,sem_faixa
"7290",5134.64,29,sem_faixa
"7298",6933.01,20,sem_faixa
"7302",45019.49,204,faixa_2
"7306",7484.26,46,sem_faixa
"7308",29619.73,108,faixa_2
"7309",8233.56,11,sem_faixa
"7310",7710.90,40,sem_faixa
"7311",3633.43,13,sem_faixa
"7313",36500.43,146,faixa_2
"7317",1539.37,9,sem_faixa
"7319",4191.95,15,sem_faixa
"7325",7582.60,8,sem_faixa
"7326",941.48,3,sem_faixa
"7327",1434.19,2,sem_faixa
